item_name                     | quantity| unit_price| total_price
CAY LAU VAT T.HAMVUONG NM120CM| 1       | 79,000    | 79,000
S.CHUA UONG BETAGEN CAM 700ML | 1       | 36,000    | 36,000
RUOT GOI SIEUHEM LAUBE35*100CM| 1       | 269,000   | 269,000
CUC LUOI                      | 1       | 72,000    | 72,000
VO GOIOM SOCNAU BESIC037*105CM| 1       | 99,000    | 99,000
B. MANDU THIT&BAP BIBIGO 350G | 2       | 39,500    | 79,000
SUSHI SET M3                  | 1       | 48,500    | 48,500
CHAO SAU INOX EL-2856IN20 20CM| 1       | 299,000   | 299,000
XOAI KEO VANG / AN GIANG      | 1,560   | 29,000    | 45,240
TR.GA HAPPY PRICE VI 30 47-53G| 1       | 69,000    | 69,000
